ID,Protein,Protein_class,Regime,CCI,Protein_conc,Stabilizer,Stab_conc_M,Buffer_pH,Obs_visc_cP,Base_visc_cP,Delta_log10,Prior_correct
20,poly-higg,polyclonal,Near-pI,0.7880,240.0000,sucrose,1.0000,7.4000,56.3500,22.5720,0.3973,True
26,poly-higg,polyclonal,Near-pI,0.7880,95.0000,sucrose,0.4600,7.4000,3.8500,2.2930,0.2251,True
27,poly-higg,polyclonal,Near-pI,0.7880,164.0000,sucrose,0.3000,7.4000,6.9000,7.0060,-0.0066,False
55,poly-higg,polyclonal,Near-pI,0.7880,75.0000,sucrose,0.2800,7.4000,2.5100,1.8220,0.1391,True
58,poly-higg,polyclonal,Far,0.3100,51.7000,sucrose,1.0100,6.0000,6.3300,1.7020,0.5704,True
59,poly-higg,polyclonal,Far,0.3100,118.7000,sucrose,0.5300,6.0000,5.1800,3.7000,0.1461,True
84,poly-higg,polyclonal,Near-pI,0.7880,166.0000,trehalose,1.0000,7.4000,19.0900,7.0900,0.4302,True
87,poly-higg,polyclonal,Near-pI,0.7880,72.0000,trehalose,1.0000,7.4000,5.0600,1.8220,0.4436,True
90,poly-higg,polyclonal,Near-pI,0.7880,68.0000,trehalose,0.4470,7.4000,2.8800,1.7870,0.2072,True
107,poly-higg,polyclonal,Far,0.3100,89.0000,sucrose,0.5000,6.0000,3.9670,1.8420,0.3331,True
108,poly-higg,polyclonal,Far,0.3100,63.0000,sucrose,1.0000,6.0000,6.2400,1.7530,0.5515,True
135,poly-higg,polyclonal,Far,0.1590,171.0000,sucrose,0.4880,5.0000,10.1100,7.2260,0.1458,True
136,poly-higg,polyclonal,Far,0.1590,111.0000,sucrose,0.9860,5.0000,10.1100,3.3180,0.4839,True
147,poly-higg,polyclonal,Far,0.1590,202.0000,sucrose,0.1000,5.0000,9.1900,9.0640,0.0060,True
148,poly-higg,polyclonal,Far,0.1590,158.0000,sucrose,0.1000,5.0000,4.5900,6.7780,-0.1693,False
149,poly-higg,polyclonal,Far,0.1590,95.0000,sucrose,0.1000,5.0000,2.7100,2.2930,0.0726,True
150,poly-higg,polyclonal,Far,0.1590,60.0000,sucrose,0.1000,5.0000,1.4700,1.7300,-0.0706,False
296,poly-higg,polyclonal,Near-pI,0.7880,151.0000,sucrose,0.2500,7.4000,8.2700,5.7300,0.1593,True
297,poly-higg,polyclonal,Near-pI,0.7880,151.0000,sucrose,0.2500,7.4000,5.6000,5.7300,-0.0100,False
298,poly-higg,polyclonal,Near-pI,0.7880,151.0000,sucrose,0.2500,7.4000,5.4200,5.7300,-0.0242,False
299,poly-higg,polyclonal,Near-pI,0.7880,157.0000,sucrose,0.5000,7.4000,11.4800,6.7780,0.2288,True
300,poly-higg,polyclonal,Near-pI,0.7880,157.0000,sucrose,0.5000,7.4000,9.1900,6.7780,0.1322,True
301,poly-higg,polyclonal,Near-pI,0.7880,157.0000,sucrose,0.5000,7.4000,6.9800,6.7780,0.0128,True
323,poly-higg,polyclonal,Far,0.3100,75.0000,sucrose,0.2000,6.0000,1.6000,1.8220,-0.0565,False
326,poly-higg,polyclonal,Far,0.3100,75.0000,sucrose,0.4000,6.0000,2.1000,1.8220,0.0616,True
355,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,2.8000,3.8150,-0.1344,False
356,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.4000,6.0000,3.9900,3.8150,0.0194,True
357,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.6000,6.0000,3.4500,3.8150,-0.0437,False
358,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,2.0000,3.8150,-0.2805,False
359,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,3.7500,3.8150,-0.0075,False
360,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.5000,6.0000,3.6000,3.8150,-0.0252,False
361,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,3.5000,3.8150,-0.0375,False
362,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,2.7600,3.8150,-0.1406,False
363,poly-higg,polyclonal,Far,0.3100,125.0000,sucrose,0.2000,6.0000,3.5000,3.8150,-0.0375,False
365,poly-higg,polyclonal,Far,0.1590,75.0000,sucrose,0.2000,5.0000,2.4000,1.8220,0.1196,True
511,poly-higg,polyclonal,Far,0.3100,83.0000,sucrose,0.2500,6.0000,4.2420,1.8420,0.3622,True
510,poly-higg,polyclonal,Far,0.3100,242.0000,sucrose,0.2500,6.0000,30.3410,26.5130,0.0586,True
514,poly-higg,polyclonal,Far,0.3100,55.0000,sucrose,0.5000,6.0000,5.1320,1.7020,0.4793,True
509,poly-higg,polyclonal,Far,0.3100,172.0000,sucrose,0.2500,6.0000,11.9110,7.5130,0.2002,True
512,poly-higg,polyclonal,Far,0.3100,169.0000,sucrose,0.5000,6.0000,14.7740,7.1620,0.3145,True
513,poly-higg,polyclonal,Far,0.3100,207.0000,sucrose,0.5000,6.0000,33.1800,12.9920,0.4072,True
304,trastuzumab,mab_igg1,Far,0.1450,100.0000,sucrose,0.3000,6.0000,3.4000,2.9640,0.0596,True
306,trastuzumab,mab_igg1,Far,0.1450,75.0000,sucrose,0.5000,6.0000,1.9500,2.2500,-0.0621,False
307,trastuzumab,mab_igg1,Far,0.0740,90.0000,sucrose,0.3000,5.0000,3.4000,2.6000,0.1165,True
308,trastuzumab,mab_igg1,Far,0.0740,70.0000,sucrose,0.5000,5.0000,3.3000,2.2500,0.1663,True
310,trastuzumab,mab_igg1,Far,0.0740,60.0000,sucrose,0.4000,5.0000,2.5000,1.9000,0.1192,True
317,trastuzumab,mab_igg1,Far,0.1450,125.0000,sucrose,0.2000,6.0000,3.1600,3.3430,-0.0244,False
468,vudalimab,bispecific,Far,0.3700,100.0000,sucrose,0.4000,6.0000,2.3800,2.5650,-0.0325,False
470,vudalimab,bispecific,Far,0.3700,100.0000,sucrose,0.4000,6.0000,2.3800,2.5650,-0.0325,False
477,vudalimab,bispecific,Far,0.1900,150.0000,sucrose,0.5000,5.0000,7.6300,4.1630,0.2631,True
479,vudalimab,bispecific,Far,0.1900,150.0000,sucrose,0.5000,5.0000,9.2500,4.1630,0.3468,True
482,vudalimab,bispecific,Far,0.3700,50.0000,sucrose,0.4000,6.0000,1.8800,2.0430,-0.0362,False
483,vudalimab,bispecific,Far,0.3700,50.0000,sucrose,0.8000,6.0000,1.5000,2.0430,-0.1342,False
484,vudalimab,bispecific,Far,0.3700,150.0000,sucrose,0.8000,6.0000,3.7500,4.1630,-0.0454,False
485,vudalimab,bispecific,Far,0.3700,150.0000,sucrose,0.4000,6.0000,3.6300,4.1630,-0.0595,False
