ID,Protein_type,Protein_class_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
F98,poly-hIgG,polyclonal,150,7.6,1,144,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,5.5,5.2,5.2,4.8,3.7,
F99,poly-hIgG,polyclonal,150,7.6,1,94,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,2.49,2.49,2.49,2.36,1.68,
F100,poly-hIgG,polyclonal,150,7.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,1.4,1.4,1.4,1.4,1.4,
F101,poly-hIgG,polyclonal,150,7.6,1,45,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,1.15,1.15,1.15,1.15,1.15,
F102,poly-hIgG,polyclonal,150,7.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,6.4,6.4,6.4,6,4.18,
F103,BGG,polyclonal,150,6.6,1,95.85,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,none,0,4.74,4.74,4.4,3.94,2.8,
F104,BGG,polyclonal,150,6.6,1,150.8,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.25,none,0,6.8,7.8,7.8,6.8,3.85,
F105,BGG,polyclonal,150,6.6,1,44,25,Histidine,6,100,NaCl,140,Sucrose,0.25,tween-20,0.15,none,0,2.2,2.2,2.2,2.2,2.2,
F106,BGG,polyclonal,150,6.6,1,71.5,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-80,0.2,none,0,5.7,5.7,5.7,5.23,4.9,
F107,poly-hIgG,polyclonal,150,7.6,1,135,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.2,none,0,4,4,4,3.7,3.1,
F108,poly-hIgG,polyclonal,150,7.6,1,174,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,none,0,7.5,7.5,7.5,6.3,4.82,
F109,poly-hIgG,polyclonal,150,7.6,1,89,25,Histidine,6,100,NaCl,140,Sucrose,0.5,tween-20,0.05,none,0,4.3,4.6,4.7,4.56,3.77,
F110,poly-hIgG,polyclonal,150,7.6,1,63,25,Histidine,6,100,NaCl,140,Sucrose,1,tween-80,0.15,none,0,6.8,6.8,6.8,6.8,6.8,
F111,poly-hIgG,polyclonal,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.02,none,0,13.7,13.4,13.4,9.7,5.04,
F112,poly-hIgG,polyclonal,150,7.6,1,202,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.02,none,0,12.7,11.2,11.2,8.9,6.33,
F113,poly-hIgG,polyclonal,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-20,0.02,none,0,14.9,13.9,12.3,9,6,
F114,poly-hIgG,polyclonal,150,7.6,1,211,25,PBS,7.4,10,NaCl,140,none,0,tween-80,0.02,none,0,13.8,13.8,13.8,9.2,6,
F115,BSA,other,66,4.7,0.3,98,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,1.55,1.55,1.55,1.55,1.45,
F116,BSA,other,66,4.7,0.3,127,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,3,2.5,2.5,2.4,2.3,
F117,BSA,other,66,4.7,0.3,194,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,4.17,4.17,4.17,3.8,2.5,
F118,BSA,other,66,4.7,0.3,266,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,13.45,8.7,8.7,7.5,5.5,
F119,BSA,other,66,4.7,0.3,72,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,1.9,1.83,1.75,1.7,1.66,
F120,BSA,other,66,4.7,0.3,131,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,3.7,3,2.5,2.2,1.7,
F121,BSA,other,66,4.7,0.3,183,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,4.1,3.87,3.5,3,2,
F122,BSA,other,66,4.7,0.3,265,25,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,7.5,7.5,7.3,6.5,4.4,
