ID,Protein,Conc_Level,Buffer,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000,Model_source_NaCl,Conc_in_range_NaCl,Model_source_Sucrose,Conc_in_range_Sucrose,Warnings,Model_source_tween_20,Conc_in_range_tween_20,Model_source_tween_80,Conc_in_range_tween_80,Model_source_Trehalose,Conc_in_range_Trehalose,Model_source_Arginine,Conc_in_range_Arginine,Model_source_Proline,Conc_in_range_Proline,Model_source_Lysine,Conc_in_range_Lysine
F45,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F46,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F47,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F48,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F49,BGG,Medium,PBS_10mM,4.378515449779729,3.819449175747708,3.331780299220124,2.9063892561574627,2.1590804845479243,global_average,True,global_average,True,,,,,,,,,,,,,
F50,BGG,Low,PBS_10mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,"Protein_conc 43.6 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'Low'.; No model for ingredient='tween-80', protein='BGG', buffer='PBS_10mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F51,BGG,Low,PBS_10mM,1.8193077947164862,1.7048158805381766,1.5975342670122274,1.4970069819077327,1.2995856646291306,global_average,True,global_average,True,"No model for ingredient='tween-80', protein='BGG', buffer='PBS_10mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F52,BGG,Medium,PBS_10mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,"No model for ingredient='tween-20', protein='BGG', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F53,poly-hIgG,Low,PBS_10mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,"No model for ingredient='tween-80', protein='poly-hIgG', buffer='PBS_10mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F54,poly-hIgG,Medium,PBS_10mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,"No model for ingredient='tween-80', protein='poly-hIgG', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
